DBN,School Name,"Total Parent 
Response Rate",Total Teacher Response Rate,Total Student Response Rate,"Percent Satisfaction:
Instructional Core","Percent Satisfaction:
Systems for Improvement",Percent Satisfaction: School Culture
02M308,Lower Manhattan Arts Academy,26%,100%,82%,86%,89%,87%
02M312,New York City Lab Middle School for Collaborative Studies,60%,97%,97%,91%,89%,91%
02M313,"James Baldwin School, The: A School for Expeditionary Learning",27%,100%,77%,93%,91%,85%
02M316,"Urban Assembly School of Business for Young Women, the",4%,50%,12%,94%,88%,91%
02M343,The Peck Slip School,80%,100%, ,99%,96%,98%
02M347,The 47 American Sign Language & English Lower School,24%,73%,98%,75%,66%,78%
02M374,Gramercy Arts High School,27%,80%,95%,79%,72%,76%
02M376,NYC iSchool,46%,100%,87%,92%,91%,94%
02M392,MANHATTAN BUSINESS ACADEMY,36%,91%,77%,86%,84%,84%
02M393,BUSINESS OF SPORTS SCHOOL,24%,97%,78%,85%,84%,84%
02M394,EMMA LAZARUS HIGH SCHOOL,86%,100%,95%,89%,86%,92%
02M397,SPRUCE STREET SCHOOL,69%,91%, ,84%,82%,91%
02M399,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,37%,93%,86%,87%,84%,87%
02M400,High School for Environmental Studies,14%,93%,73%,87%,87%,84%
02M407,Institute for Collaborative Education,34%,96%,92%,93%,94%,94%
02M408,Professional Performing Arts High School,41%,96%,87%,86%,84%,86%
02M411,Baruch College Campus High School,24%,42%,71%,95%,89%,93%
02M412,N.Y.C. Lab School for Collaborative Studies,34%,67%,90%,93%,92%,92%
02M413,School of the Future High School,68%,100%,92%,91%,88%,90%
02M414,N.Y.C. Museum School,16%,100%,98%,81%,69%,85%
02M416,Eleanor Roosevelt High School,58%,100%,99%,91%,87%,92%
02M418,Millennium High School,31%,100%,96%,89%,86%,93%
02M419,Landmark High School,53%,100%,77%,87%,87%,85%
02M420,High School for Health Professions and Human Services,45%,95%,89%,88%,88%,88%
02M422,Quest to Learn,57%,82%,85%,79%,75%,82%
02M425,Leadership and Public Service High School,24%,97%,57%,88%,86%,88%
02M427,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,42%,60%,70%,91%,90%,87%
02M429,Legacy School for Integrated Studies,8%,73%,78%,82%,73%,85%
02M432,Murray Hill Academy,61%,97%,94%,94%,92%,90%
02M437,Hudson High School of Learning Technologies,12%,88%,75%,88%,87%,87%
02M438,International High School at Union Square,31%,92%,84%,94%,92%,90%
02M439,Manhattan Village Academy,60%,63%,99%,87%,73%,88%
02M442,"Ballet Tech, NYC Public School for Dance",80%,100%,100%,94%,91%,95%
02M449,Vanguard High School,20%,96%,78%,92%,91%,88%
02M459,Manhattan International High School,95%,86%,91%,96%,93%,93%
02M460,Washington Irving High School,10%,63%,52%,82%,80%,82%
02M473,Washington Irving Yabc, ,48%,15%,95%,92%,93%
02M475,Stuyvesant High School,44%,96%,97%,82%,85%,89%
02M489,High School of Economics and Finance,40%,84%,87%,90%,88%,90%
02M500,Unity Center for Urban Technologies,77%,100%,83%,94%,91%,94%
02M507,Urban Assembly Gateway School for Technology,34%,80%,90%,93%,93%,93%
02M519,Talent Unlimited High School,30%,89%,83%,87%,82%,88%
02M520,Murry Bergtraum High School for Business Careers,7%,69%,33%,60%,61%,61%
02M527,PS 527 - East Side School for Social Action,91%,100%, ,99%,100%,99%
02M529,Jacqueline Kennedy Onassis High School,8%,62%,35%,85%,80%,84%
02M531,Repertory Company High School for Theatre Arts,66%,100%,95%,84%,86%,86%
02M533,Union Square Academy for Health Sciences,48%,100%,89%,92%,89%,89%
02M534,Harvest Collegiate High School,40%,85%,90%,88%,91%,89%
02M542,Manhattan Bridges High School,54%,89%,88%,95%,91%,94%
02M543,New Design High School,9%,79%,56%,86%,80%,86%
02M544,Independence High School,17%,85%,31%,95%,94%,94%
02M545,High School for Dual Language and Asian Studies,24%,70%,91%,81%,70%,87%
02M546,Academy for Software Engineering,33%,100%,80%,97%,93%,94%
02M550,Liberty High School Academy for Newcomers,43%,56%,82%,85%,76%,83%
02M551,Urban Assembly New York Harbor School,21%,88%,84%,80%,74%,80%
02M560,High School M560 - City As School,5%,54%,25%,88%,88%,88%
02M565,Urban Academy Laboratory High School,10%,100%,58%,95%,96%,94%
02M570,Satellite Academy High School,8%,81%,62%,96%,96%,96%
02M575,Manhattan Comprehensive Night and Day High School,21%,67%,76%,97%,96%,95%
02M580,Richard R. Green High School of Teaching,19%,69%,74%,76%,75%,78%
02M586,Harvey Milk High School,22%,78%,85%,95%,96%,95%
02M600,The High School of Fashion Industries,29%,96%,94%,89%,91%,88%
02M605,Humanities Preparatory Academy,27%,100%,69%,97%,97%,95%
02M615,Chelsea Career and Technical Education High School,37%,91%,92%,88%,86%,89%
02M620,Norman Thomas High School,47%,100%,63%,86%,81%,84%
02M625,High School of Graphic Communication Arts,2%,60%,2%,66%,64%,65%
02M630,Art and Design High School,20%,43%,74%,82%,77%,82%
02M655,Life Sciences Secondary School,13%,68%,52%,88%,85%,82%
02M896,Lower Manhattan Community Middle School,43%,96%,96%,90%,92%,92%
03M009,P.S. 009 Sarah Anderson,70%,100%, ,93%,91%,95%
03M054,J.H.S. 054 Booker T. Washington,55%,80%,97%,92%,90%,93%
03M075,P.S. 075 Emily Dickinson,43%,75%, ,83%,81%,85%
03M076,P.S. 076 A. Philip Randolph,64%,89%,82%,94%,93%,93%
03M084,P.S. 084 Lillian Weber,68%,73%, ,95%,92%,93%
03M087,P.S. 087 William Sherman,40%,48%, ,89%,82%,93%
03M145,"P.S. 145, The Bloomingdale School",75%,93%, ,86%,82%,86%
03M149,P.S. 149 Sojourner Truth,42%,78%,82%,86%,82%,87%
03M163,P.S. 163 Alfred E. Smith,55%,76%, ,76%,71%,86%
03M165,P.S. 165 Robert E. Simon,53%,62%,86%,86%,81%,84%
03M166,P.S. 166 The Richard Rodgers School of The Arts and Technology,73%,89%, ,82%,78%,88%
03M180,P.S. 180 Hugo Newman,43%,100%,100%,92%,88%,90%
03M185,P.S. 185 - The Early Childhood Discovery and Design Magnet School,100%,100%, ,96%,93%,94%
03M191,P.S. 191 Amsterdam,95%,93%,96%,79%,73%,76%
03M199,P.S. 199 Jessie Isador Straus,48%,54%, ,97%,93%,97%
03M208,P.S. 208 Alain L. Locke,99%,93%, ,89%,87%,89%
03M241,STEM Institute of Manhattan,67%,54%, ,75%,71%,76%
03M242,P.S. 242 - The Young Diplomats Magnet Academy,22%,42%, ,93%,84%,88%
03M243,M.S. 243 Center School,77%,100%,99%,95%,92%,96%
03M245,M.S. M245 The Computer School,34%,88%,94%,90%,86%,91%
03M247,M.S. M247 Dual Language Middle School,65%,89%,94%,94%,92%,94%
03M250,M.S. 250 West Side Collaborative Middle School,67%,94%,97%,96%,96%,95%
03M256,M.S. 256 Academic & Athletic Excellence,9%,79%,78%,60%,55%,62%
03M258,Community Action School - MS 258,39%,92%,96%,93%,91%,92%
03M283,Manhattan Theatre Lab High School,11%,80%,89%,85%,83%,86%
03M299,"High School for Arts, Imagination and Inquiry",24%,97%,86%,85%,83%,85%
03M307,"Urban Assembly School for Media Studies, The",17%,96%,88%,89%,86%,86%
03M333,P.S. 333 Manhattan School for Children,47%,66%,93%,89%,85%,89%
03M334,The Anderson School,84%,100%,100%,95%,94%,95%
03M402,The Urban Assembly School for Green Careers,24%,100%,62%,79%,78%,81%
03M403,The Global Learning Collaborative,31%,68%, ,83%,82%,87%
03M404,Innovation Diploma Plus,33%,92%,47%,97%,94%,93%
03M415,Wadleigh Secondary School for the Performing & Visual Arts,30%,81%,70%,79%,75%,77%
03M417,FRANK McCOURT HIGH SCHOOL,25%,93%,99%,88%,88%,90%
03M421,West Prep Academy,95%,100%,96%,92%,89%,88%
03M452,P.S. 452,65%,100%, ,99%,98%,99%
03M479,Beacon High School,29%,62%,87%,92%,88%,90%
03M485,Fiorello H. LaGuardia High School of Music & Art and Performing Arts,31%,91%,93%,76%,74%,85%
03M492,"High School for Law, Advocacy and Community Justice",29%,88%,70%,84%,82%,83%
03M494,High School of Arts and Technology,22%,78%,77%,69%,68%,73%
03M505,Edward A. Reynolds West Side High School,14%,73%,34%,92%,91%,90%
03M541,Manhattan / Hunter Science High School,32%,92%,94%,94%,92%,94%
03M859,Special Music School,63%,100%,96%,95%,88%,95%
03M860,Frederick Douglass Academy II Secondary School,21%,76%,67%,83%,81%,79%
03M862,Mott Hall II,94%,95%,99%,91%,87%,92%
04M007,P.S. 007 Samuel Stern,51%,70%,86%,83%,79%,82%
04M012,Tag Young Scholars,57%,100%,96%,92%,87%,92%
04M013,J.H.S. 013 Jackie Robinson,15%,100%,91%,91%,89%,88%
04M037,River East Elementary,83%,79%, ,96%,92%,95%
04M038,P.S. 38 Roberto Clemente,59%,100%, ,81%,74%,79%
04M050,P.S. 050 Vito Marcantonio,24%,59%,91%,89%,86%,84%
04M057,James Weldon Johnson,52%,68%,95%,91%,87%,86%
04M072,The Lexington Academy,61%,90%, ,96%,93%,96%
04M083,P.S. 083 Luis Munoz Rivera,57%,94%, ,98%,92%,94%
04M096,P.S. 096 Joseph Lanzetta,31%,64%,94%,82%,75%,77%
04M102,P.S. 102 Jacques Cartier,40%,88%, ,90%,88%,90%
04M108,P.S. 108 Assemblyman Angelo Del Toro Educational Complex,43%,67%,91%,88%,84%,85%
04M112,P.S. 112 Jose Celso Barbosa,84%,97%, ,96%,92%,96%
04M146,P.S. 146 Ann M. Short,45%,58%, ,87%,81%,87%
04M155,P.S. 155 William Paca,75%,97%, ,93%,91%,91%
04M171,P.S. 171 Patrick Henry,94%,66%,99%,93%,91%,93%
04M182,The Bilingual Bicultural School,90%,52%, ,97%,92%,94%
04M206,P.S. 206 Jose Celso Barbosa,91%,100%,99%,92%,89%,89%
04M224,M.S. 224 Manhattan East School for Arts & Academics,51%,92%,94%,94%,89%,90%
04M372,ESPERANZA PREPARATORY ACADEMY,49%,75%,96%,88%,85%,87%
04M375,Mosaic Preparatory Academy,91%,80%, ,93%,90%,91%
04M377,Renaissance School of the Arts,92%,94%,99%,92%,92%,87%
04M381,Global Neighborhood Secondary School,54%,100%,96%,97%,93%,90%
04M406,Global Technology Preparatory,55%,93%,95%,92%,91%,90%
04M409,Coalition School for Social Change,22%,96%,79%,87%,88%,85%
04M435,Manhattan Center for Science and Mathematics,84%,87%,96%,85%,87%,86%
04M495,Park East High School,66%,100%,93%,93%,92%,92%
04M497,Central Park East I,55%,40%, ,88%,85%,95%
04M555,Central Park East High School,26%,97%,91%,93%,93%,93%
04M610,Young Women's Leadership School,75%,100%,93%,93%,89%,93%
04M635,Academy of Environmental Science Secondary High School,75%,100%,94%,85%,74%,86%
04M680,"Heritage School, The",30%,96%,76%,83%,83%,81%
04M825,Isaac Newton Middle School for Math & Science,58%,96%,97%,91%,89%,87%
04M964,Central Park East II,69%,90%, ,98%,95%,97%
05M030,P.S. 030 Hernandez/Hughes,65%,95%, ,90%,90%,89%
05M036,P.S. 036 Margaret Douglas,64%,78%, ,86%,83%,88%
05M046,P.S. 046 Arthur Tappan,67%,98%,87%,90%,86%,85%
05M092,P.S. 092 Mary McLeod Bethune,100%,88%, ,92%,85%,88%
05M123,P.S. 123 Mahalia Jackson,45%,62%,77%,88%,84%,82%
05M125,P.S. 125 Ralph Bunche,48%,100%, ,90%,88%,93%
05M129,P.S. 129 John H. Finley,16%,36%,80%,86%,84%,83%
05M133,P.S. 133 Fred R Moore,77%,72%, ,84%,80%,84%
05M148,Eagle Academy for Young Men of Harlem,39%,100%,91%,95%,93%,91%
05M154,P.S. 154 Harriet Tubman,49%,64%, ,86%,81%,85%
05M157,The Urban Assembly School for Global Commerce,62%,100%,94%,86%,86%,81%
05M161,P.S. 161 Pedro Albizu Campos,49%,75%,96%,92%,90%,86%
05M175,P.S. 175 Henry H Garnet,84%,71%, ,93%,88%,90%
05M194,P.S. 194 Countee Cullen,84%,74%, ,84%,80%,82%
05M197,P.S. 197 John B. Russwurm,81%,97%, ,97%,92%,95%
05M200,P.S. 200- The James Mccune Smith School,59%,74%, ,90%,85%,88%
05M285,Harlem Renaissance High School,10%,88%,45%,86%,87%,87%
05M286,I.S. M286 Renaissance Leadership Academy,59%,67%,88%,93%,94%,91%
05M302,KAPPA IV,55%,75%,97%,77%,74%,76%
05M304,Mott Hall High School,84%,91%,98%,86%,85%,86%
05M318,Thurgood Marshall Academy Lower School,87%,100%, ,94%,94%,96%
05M362,Columbia Secondary School,42%,66%,72%,86%,86%,88%
05M367,Academy for Social Action: A College Board School,10%,26%,47%,74%,64%,71%
05M369,Urban Assembly School for the Performing Arts,10%,77%,55%,81%,76%,83%
05M410,The Urban Assembly Institute for New Technologies,52%,100%,86%,92%,92%,90%
05M469,Choir Academy of Harlem,32%,91%,91%,83%,75%,80%
05M499,Frederick Douglass Academy,7%,47%,66%,82%,81%,79%
05M514,New Design Middle School,35%,90%,78%,85%,85%,84%
05M517,Teachers College Community School,97%,89%, ,96%,92%,93%
05M670,Thurgood Marshall Academy for Learning and Social Change,55%,67%,85%,90%,86%,89%
05M685,Bread & Roses Integrated Arts High School,32%,91%,75%,85%,82%,81%
05M692,"High School for Mathematics, Science and Engineering at City College",38%,97%,95%,91%,89%,93%
06M004,P.S. 004 Duke Ellington,41%,72%, ,92%,90%,90%
06M005,P.S. 005 Ellen Lurie,54%,82%, ,90%,88%,88%
06M008,P.S. 008 Luis Belliard,80%,100%, ,93%,92%,92%
06M018,P.S. 018 Park Terrace,85%,100%,100%,91%,89%,89%
06M028,P.S. 028 Wright Brothers,94%,98%, ,95%,95%,94%
06M048,P.S. 048 P.O. Michael J. Buczek,49%,78%, ,93%,89%,93%
06M052,J.H.S. 052 Inwood,44%,64%,96%,93%,92%,90%
06M098,P.S. 098 Shorac Kappock,46%,81%, ,80%,77%,84%
06M103,Dos Puentes Elementary School,90%,100%, ,98%,98%,98%
06M115,P.S. 115 Alexander Humboldt,66%,82%, ,96%,92%,93%
06M128,P.S. 128 Audubon,56%,55%, ,96%,94%,95%
06M132,P.S. 132 Juan Pablo Duarte,87%,94%, ,85%,84%,86%
06M143,J.H.S. 143 Eleanor Roosevelt,67%,100%,93%,87%,85%,84%
06M152,P.S. 152 Dyckman Valley,89%,82%, ,87%,82%,87%
06M153,P.S. 153 Adam Clayton Powell,47%,98%, ,91%,88%,90%
06M173,P.S. 173,79%,40%, ,84%,75%,83%
06M178,Professor Juan Bosch Public School,100%,100%, ,96%,93%,97%
06M187,P.S./I.S. 187 Hudson Cliffs,34%,74%,97%,89%,82%,90%
06M189,P.S. 189,58%,75%, ,90%,88%,90%
06M192,P.S. 192 Jacob H. Schiff,48%,71%, ,87%,81%,90%
06M210,P.S./I.S. 210 - Twenty-first Century Academy for Community Leadership,78%,77%,99%,92%,92%,93%
06M218,I.S. 218 Salome Urena,89%,50%,98%,91%,91%,91%
06M223,The Mott Hall School,75%,68%,99%,89%,82%,89%
06M278,Paula Hedbavny School,83%,91%,99%,96%,94%,96%
06M293,City College Academy of the Arts,67%,50%,95%,90%,85%,92%
06M311,Amistad Dual Language School,68%,91%,100%,89%,85%,90%
06M314,Muscota,45%,82%, ,95%,94%,98%
06M319,M.S. 319 - Maria Teresa,98%,92%,95%,97%,96%,95%
06M322,Middle School 322,49%,54%,97%,89%,86%,85%
06M324,M.S. 324 - Patria Mirabal,88%,97%,98%,96%,96%,95%
06M325,P.S. 325,79%,74%, ,89%,87%,90%
06M326,M.S. 326 - Writers Today & Leaders Tomorrow,76%,54%,92%,86%,81%,78%
06M328,M.S. 328 - Manhattan Middle School for Scientific Inquiry,98%,100%,92%,92%,89%,89%
06M346,Community Health Academy of the Heights,53%,71%,83%,91%,94%,93%
06M348,Washington Heights Expeditionary Learning School,56%,75%,81%,89%,86%,92%
06M349,Harbor Heights,100%,67%,100%,79%,79%,84%
06M366,Washington Heights Academy,89%,100%, ,92%,90%,93%
06M368,Hamilton Heights School,75%,53%, ,93%,86%,94%
06M423,High School for Excellence and Innovation,62%,85%,66%,90%,88%,89%
06M457,George Washington Yabc,21%,40%,69%,95%,94%,94%
06M462,The College Academy,30%,97%,72%,89%,89%,89%
06M463,High School for Media and Communications,42%,74%,78%,85%,84%,84%
06M467,High School for Law and Public Service,50%,82%,76%,89%,87%,85%
06M468,High School for Health Careers and Sciences,44%,85%,85%,78%,76%,78%
06M513,Castle Bridge School,70%,100%, ,98%,98%,95%
06M528,I.S. 528 Bea Fuller Rodgers School,61%,82%,97%,92%,91%,88%
06M540,A. Philip Randolph Campus High School,11%,89%,13%,88%,88%,86%
06M552,Gregorio Luperon High School for Science and Mathematics,57%,83%,94%,95%,94%,94%
07X001,P.S. 001 Courtlandt School,90%,89%, ,93%,91%,92%
07X005,PS 5 Port Morris,44%,94%,93%,91%,88%,87%
07X018,P.S. 018 John Peter Zenger,88%,79%, ,93%,91%,90%
07X025,P.S. 025 Bilingual School,47%,78%, ,96%,92%,94%
07X029,P.S./M.S. 029 Melrose School,65%,74%,82%,92%,92%,91%
07X030,P.S. 030 Wilton,92%,100%, ,93%,88%,87%
07X031,P.S./M.S. 031 The William Lloyd Garrison,56%,77%,97%,90%,87%,87%
07X043,P.S. 043 Jonas Bronck,51%,100%, ,95%,94%,91%
07X049,P.S. 049 Willis Avenue,78%,80%, ,86%,82%,82%
07X065,P.S. 065 Mother Hale Academy,99%,92%, ,92%,88%,87%
07X151,J.H.S. 151 Lou Gehrig,69%,91%,93%,90%,88%,88%
07X154,P.S. 154 Jonathan D. Hyatt,42%,95%, ,93%,90%,88%
07X157,P.S. 157 Grove Hill,51%,63%, ,92%,88%,92%
07X161,P.S. 161 Ponce De Leon,80%,90%, ,90%,83%,88%
07X162,J.H.S. 162 Lola Rodriguez De Tio,68%,97%,93%,90%,87%,85%
07X179,P.S. 179,42%,84%, ,93%,87%,91%
07X203,M.S. 203,59%,79%,95%,87%,83%,82%
07X221,South Bronx Preparatory: A College Board School,62%,88%,96%,92%,89%,89%
07X223,M.S. 223 The Laboratory School of Finance and Technology,68%,97%,94%,91%,88%,88%
07X224,P.S. / I.S. 224,52%,92%,87%,91%,90%,86%
07X259,"H.E.R.O. High (Health, Education, and Research Occupations High School)",60%,89%,78%,92%,91%,88%
07X277,P.S. 277,75%,100%, ,90%,88%,92%
07X296,South Bronx Academy for Applied Media,73%,91%,94%,86%,84%,80%
07X298,Academy of Public Relations,60%,42%,96%,84%,85%,82%
07X321,Crotona Academy High School,40%,90%,51%,92%,89%,93%
07X334,International Community High School,29%,93%,87%,91%,90%,90%
07X343,Academy of Applied Mathematics and Technology,52%,100%,91%,94%,92%,94%
07X359,Concourse Village Elementary School,92%,100%, ,97%,97%,97%
07X369,Young Leaders Elementary School,54%,90%, ,78%,68%,77%
07X379,Jill Chaifetz Transfer High School,17%,100%,42%,95%,95%,95%
07X381,Bronx Haven High School,22%,92%,74%,97%,94%,95%
07X385,Performance School,82%,71%, ,69%,70%,74%
07X427,Community School for Social Justice,38%,100%,90%,93%,92%,92%
07X456,Alfred E. Smith Campus YABC,18%,67%,38%,94%,93%,93%
07X473,Mott Haven Village Preparatory High School,36%,89%,85%,87%,83%,88%
07X495,University Heights Secondary School,72%,90%,85%,91%,91%,92%
07X500,Hostos-Lincoln Academy of Science,17%,39%,75%,82%,82%,84%
07X520,Foreign Language Academy of Global Studies,43%,100%,87%,83%,73%,80%
07X522,Bronx Design and Construction Academy,46%,29%,64%,90%,89%,89%
07X527,Bronx Leadership Academy II High School,30%,90%,68%,89%,90%,89%
07X548,Urban Assembly School for Careers in Sports,19%,89%,77%,90%,91%,90%
07X551,The Urban Assembly Bronx Academy of Letters,34%,85%,75%,84%,85%,83%
07X557,Mott Haven Community High School,56%,94%,83%,95%,96%,94%
07X600,Alfred E. Smith Career and Technical Education High School,54%,61%,92%,83%,84%,84%
07X655,Samuel Gompers Career and Technical Education High School,8%,35%,72%,73%,70%,77%
07X670,Health Opportunities High School,82%,86%,81%,92%,90%,85%
08X014,P.S. X014 Senator John Calandra,76%,93%, ,95%,90%,94%
08X036,P.S. 036 Unionport,70%,96%, ,96%,93%,95%
08X048,P.S. 048 Joseph R. Drake,42%,100%, ,87%,81%,82%
08X062,P.S. 062 Inocensio Casanova,59%,95%, ,94%,90%,90%
08X069,P.S. 069 Journey Prep School,67%,87%, ,94%,92%,94%
08X071,P.S. 071 Rose E. Scala,50%,85%,96%,91%,90%,88%
08X072,P.S. 072 Dr. William Dorney,58%,98%, ,92%,90%,90%
08X075,P.S. 75 School of Research and Discovery,78%,100%, ,92%,88%,89%
08X093,P.S. 093 Albert G. Oliver,47%,72%, ,94%,88%,94%
08X100,P.S. 100 Isaac Clason,33%,76%, ,96%,94%,95%
08X101,M.S. X101 Edward R. Byrne,81%,97%,99%,94%,93%,93%
08X107,P.S. 107,72%,100%, ,93%,93%,94%
08X119,P.S. 119,66%,77%, ,96%,91%,93%
08X123,J.H.S. 123 James M. Kieran,52%,92%,81%,79%,74%,72%
08X125,J.H.S. 125 Henry Hudson,26%,84%,87%,84%,81%,82%
08X130,P.S. 130 Abram Stevens Hewitt,93%,93%, ,94%,91%,94%
08X131,J.H.S. 131 Albert Einstein,52%,100%,98%,86%,83%,78%
08X138,P.S. 138 Samuel Randall,56%,78%, ,95%,92%,92%
08X140,P.S. X140 The Eagle School,38%,91%, ,88%,87%,88%
08X146,P.S. 146 Edward Collins,67%,93%, ,87%,81%,85%
08X152,P.S. 152 Evergreen,12%,69%, ,87%,83%,89%
08X182,P.S. 182,32%,66%, ,88%,80%,87%
08X269,Bronx Studio School for Writers and Artists,45%,97%,91%,85%,87%,85%
08X282,Women's Academy of Excellence,24%,62%,80%,77%,76%,76%
08X293,Renaissance High School for Musical Theater & Technology,11%,83%,82%,89%,89%,86%
08X295,Gateway School for Environmental Research and Technology,32%,75%,60%,88%,81%,87%
08X301,M.S. 301 Paul L. Dunbar,40%,74%,89%,91%,89%,89%
08X302,M.S. 302 Luisa Dessus Cruz,69%,63%,94%,88%,89%,84%
